id,trt,work.T1,play.T1,talk.T1,work.T2,play.T2,talk.T2
1,cnt,0.651655667,0.864721226,0.535597038,0.275483862,0.354328065,0.031888156
2,cnt,0.567737753,0.615352417,0.09308813,0.228903945,0.936432539,0.114467588
3,tr,0.113508982,0.775109896,0.169803041,0.014433906,0.245866392,0.468935476
4,tr,0.595925305,0.355568691,0.899832451,0.728964563,0.473141461,0.396986738
5,tr,NA,0.405849972,0.422637607,0.249880472,0.191560871,0.833619194
6,cnt,0.428809418,0.706646914,0.747746468,0.161183277,0.58322197,0.761121743
7,tr,0.051903322,0.838287665,0.82265258,0.01704265,0.45947319,0.573356449
8,tr,0.264177667,0.239589131,0.954653646,0.486100345,0.467434048,0.447508046
9,cnt,0.398790731,0.770771533,0.685444509,0.102900172,0.399832556,0.083802008
10,cnt,0.836134143,0.355897744,0.50050323,0.801547005,0.505285596,0.219138547
