"Name","Mobility","State","Commute","Longitude","Latitude"
"Johnson City",0.06219881,"TN",0.325,-82.43638611,36.47037125
"Morristown",0.05365194,"TN",0.276,-83.40724945,36.09653854
"Middlesborough",0.072635137,"TN",0.359,-83.53533173,36.55154037
"Knoxville",0.056281213,"TN",0.269,-84.24279022,35.95225906
"Winston-Salem",0.044800792,"NC",0.292,-80.50533295,36.08127594
"Martinsville",0.051835854,"VA",0.313,-80.29411316,36.70058823
"Greensboro",0.047396939,"NC",0.305,-79.76738739,36.31110764
"North Wilkesboro",0.051663127,"NC",0.289,-81.2522049,36.28341675
"Galax",0.079569891,"VA",0.325,-81.03992462,36.59199905
"Spartanburg",0.04311119,"SC",0.299,-81.78596497,34.87308121
"Gastonia",0.051527306,"NC",0.288,-81.6222229,35.41153336
"Charlotte",0.043785237,"NC",0.241,-80.69176483,35.09056091
"Boone",0.056083649,"NC",0.375,-81.84039307,36.19696426
"Morganton",0.054446463,"NC",0.315,-81.99520874,35.80189514
"Hickory",0.044969671,"NC",0.322,-81.28756714,35.87122726
"Franklin",0.056661561,"NC",0.416,-83.37693787,34.97714615
"Sylva",0.060665362,"NC",0.412,-83.40532684,35.34777069
"Asheville",0.063380279,"NC",0.314,-82.69906616,35.54806519
"Andrews",0.080481038,"NC",0.361,-83.8927536,34.96515656
"Bennettsville",0.029796841,"SC",0.34,-79.97753143,34.53401184
"Florence",0.0356782,"SC",0.327,-79.71277618,33.92253113
"Fayetteville",0.038247012,"NC",0.322,-79.33141327,35.03549576
"Wilmington",0.041803397,"NC",0.317,-78.33686829,34.47793579
"Wilson",0.031958379,"NC",0.36,-77.78102875,35.91067886
"Raleigh",0.049986634,"NC",0.25,-78.71379089,35.7296524
"Henderson",0.033608817,"NC",0.345,-78.2416153,36.34949493
"Goldsboro",0.045354951,"NC",0.348,-78.17847443,35.05299377
"Jacksonville",0.04700724,"NC",0.375,-77.10850525,35.19292831
"Virginia Beach",0.053550944,"VA",0.253,-76.29445648,36.4986496
"Washington",0.049788479,"NC",0.387,-76.53919983,35.68222809
"South Boston",0.049048752,"VA",0.318,-78.50386047,36.99875641
"Lynchburg",0.067359142,"VA",0.309,-79.28725433,37.35041809
"Richmond",0.054764673,"VA",0.238,-77.35938263,37.49375534
"Newport News",0.051365763,"VA",0.29,-76.74573517,37.17897034
"Roanoke Rapids",0.032752901,"NC",0.357,-77.33207703,36.25989914
"Gulfport",0.067107029,"MS",0.298,-89.41765594,30.68035507
