"","fare_amount","tip_amount"
"7832414",7,1.65
"3247452",10.5,2.36
"1026979",5,0.87
"2003753",18.5,4.05
"5884122",6,2
"2373845",3.5,0.96
"3418614",13,2.96
"603784",6,2.19
"404232",6,0
"1381237",17.5,5.79
"2846700",4.5,1
"676891",11.5,1
"8061942",8,1.95
"5307814",14,2
"4790151",6,0
"3742174",20,0
"1996570",13,2.96
"4424202",10,2.26
"7437643",5.5,1
"2982802",17,0
"4569138",11.5,0
"4626684",9,1.96
"8583492",6,0
"4100622",9,1
"3141031",15.5,0
"6723445",9.5,2.16
"6606163",54.5,12.5
"8217380",26,1
"6638892",11.5,0
"5662078",34,0
"6964999",4,1.06
"3391583",45,9.16
"8231423",13,2.07
"5785017",8,1.96
"2210937",7,0
"5138267",11.5,0
"3297613",20,0
"6232281",9,1
"6591280",5.5,1.26
"826501",5.5,1.58
"3297879",20,1.5
"7076565",15.5,0
"4020188",52.5,10.66
"5826847",6.5,1.95
"1167868",24.5,5.16
"963481",10.5,0
"3174146",16.5,0
"6378383",5.5,1.45
"3928739",5.5,1.25
"2657635",9.5,2.15
"5334717",10.5,2.8
"1798799",13.5,2.96
"5509510",11.5,0
"3222066",13,2.85
"8388399",4.5,0
"6540734",12,0
"1979568",7.5,1.86
"4040636",15,4.2
"7625553",9,1.96
"4971855",6.5,1.56
"118032",7,1.56
"8628176",8,0
"3169021",12.5,0
"6797889",11.5,2.56
"641466",21,4.46
"7723078",3.5,0
"1640975",11.5,1.85
"6136013",10,2.26
"8482311",8.5,0
"7426969",-2.5,0
"2695566",8,1.86
"7496364",4,0
"3829041",24.5,5.16
"3299578",4.5,1.06
"6264579",7,0
"5493469",13,3.55
"7257484",22,0
"7924113",10,2.7
"663122",4.5,0
"2195753",10.5,2.26
"7662756",6,0
"8325236",41.5,9.8
"6597681",8,1.76
"2957738",18.5,3.96
"4745878",4,0
"7156500",8,1.96
"341476",12,1
"5671148",13.5,2.86
"3275478",10,2.16
"8660598",12,1.33
"842314",7.5,1.65
"3833178",16,2
"7729775",16.5,1.88
"8673189",8.5,1.95
"3775896",4.5,0.9
"6418395",23,0
"1355020",12,2.76
"5885555",7,2.05
"6037535",7,0
"3749690",6,1.17
"6213973",7,1
"1460627",5,0
"1073008",8,1.95
"2997254",13,1
"7928594",45,0
"5558680",20.5,0
"8122762",17,3.85
"8138869",53.5,0
"8169233",10.5,0
"3980088",11,3.54
"2185779",5,1.15
"1172016",8.5,0
"4776088",25.5,5.26
"1532864",7.5,2
"1806329",7,0
"3306709",10,0
"4506260",6,0
"2438533",7,0
"6172643",9.5,2.15
"4940530",52,11.71
"2786739",9.5,1.7
"5498597",7.5,2
"805880",8.5,1
"8406481",10,2.26
"5104070",15,3.16
